Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,
368,veal breast raw,94.3,6.69,2.67,3.25,0.43,0,0,7.92,0,32.21,0.03,30.7,0,0,0,0,0,0,0,0,0,0,0,0,3.18,0.04,0.24,8.16,0.0046,78.02,129.73,0.0007,1.06,18.03,
369,beef rib raw,143.3,12.38,5.12,5.3,0.45,0,0,7.38,0,32.21,0.02,24.73,0,0.04,0.0017,0.0061,0.06,1.18,0.15,0.13,0,0,0,0,3.63,0.03,0.78,7.26,0.0045,69.4,117.94,0.0067,1.7,24.17,
370,beef jerky,82,5.1,2.2,2.3,0.2,2.2,1.8,6.6,0.4,9.6,0.4,4.7,0,0.059,0.093,0.061,0.084,0.3,0.045,0.048,0,0.022,0.018,0.081,4,0.029,1.1,10.2,0.072,81.4,119.4,0.046,1.6,19.4,
371,beef breakfast strips cooked,51,3.9,1.6,1.9,0.2,0.2,0,3.5,0,13.4,0.3,3,0,0.077,0.02,0.001,0.034,0.7,0.085,0.013,0,0.025,0.05,0.016,1,0.06,0.4,3.1,0.097,26.7,46.6,0.023,0.7,9,
372,pork olive loaf,66,4.6,1.6,2.2,0.5,2.6,0,3.3,0,10.6,0.3,16.3,0.019,0.097,0.069,0.03,0.071,0.5,0.2,0.073,0,0.024,0.031,0.065,30.5,0.023,0.2,5.3,0.015,35.6,83.2,0.087,0.4,41.265,
373,beef luncheon meat jellied,31,0.9,0.4,0.4,0.034,0,0,5.3,0,9.5,0.4,20.9,0,0.01,0.027,0.068,0.094,1.4,0.2,0.078,0,0,0,0,2.8,0.1,1,5,0.058,38.9,112.6,0.032,1,10,
374,turkey pastrami,38,1.8,0.5,0.6,0.5,0.5,1,4.6,0.062,19.4,0.3,20.4,0.057,0.044,0.035,0.043,0.071,1,0.2,0.021,2.3,0.003,0.058,0,3.1,0.023,1.2,4,0.055,57,98.3,0.014,0.6,13.579,
375,pork salami,41,3.4,1.2,1.6,0.4,0.2,0,2.3,0,7.9,0.2,3.6,0,0.056,0.094,0.035,0.072,0.6,0.1,0.072,0,0,0,0,1.3,0.077,0.1,2.2,0.042,22.9,37.8,0.041,0.4,7.3,
376,canadian style bacon raw,45,2,0.6,0.9,0.2,0.5,0,5.9,0,14.3,0.3,19.1,0,0.2,0.04,0.017,0.093,1.8,0.1,0.1,0,0.004,0.035,0,2.3,0.069,0.2,4.8,0.006,69.3,98,0.082,0.4,10.9,
377,honey loaf,85,3.6,1.3,1.7,0.3,2.6,2.6,9.9,0,26.2,0.4,38.4,0,0.2,0.046,0.028,0.2,1.8,0.4,0.2,0,0.021,0.1,0.048,30.8,0.085,0.6,11.4,0.002,96.9,224.6,0.038,1.8,47.5,
378,pork beef salami,37,3.1,1.1,1.4,0.5,0.076,0.008,2.1,0,10.6,0.2,4,0.093,0.086,0.042,0,0.042,0.096,0.6,0.1,0.032,0,0.059,0.088,0,2.4,0.042,0.1,2,0.06,18.8,35.6,0.06,5.334,
379,beef pork bologna,92,7.4,2.8,3.2,0.3,1.6,1.3,4.6,0,18,0.3,15.6,0.078,0.058,0.072,0.06,0.031,0.8,0.1,0.099,0.2,0.045,0,0.002,25.5,0.081,0.4,5.1,0.027,48.9,94.5,0.093,0.7,39.702,
380,pork beef salami cooked,41,3.2,1.1,1.4,0.3,0.3,0.1,2.7,0,10.9,0.2,5.6,0,0.079,0.039,0.014,0.007,0.7,0.1,0.001,0,0.09,0.075,0.048,1.8,0.071,0.2,2.3,0.1,23.5,38.9,0.022,0.4,8.2,
381,pork breakfast strips raw,88,8.4,2.9,3.8,1.3,0.2,0,2.7,0,15.6,0.2,10.7,0,0.1,0.047,0.066,0.049,0.8,0.1,0.084,6.1,0,0,0,1.8,0.057,0.2,2.7,0.034,31,46.1,0.037,0.4,19.4,
382,pickle pimiento loaf,86,6.1,2,2.7,1.1,3.2,3.2,4.3,0.6,22,0.4,22.9,0.007,0.1,0.093,0.063,0.065,0.9,0.2,0.2,3,0.079,0.2,0.036,41.4,0.005,0.5,12.9,0.024,58.1,141,0.047,0.6,59.105,
383,luxury loaf,39,1.3,0.4,0.7,0.1,1.4,0,5.2,0,10.1,0.3,19.1,0,0.2,0.055,0.055,0.033,1,0.1,0.011,0,0.08,0,0,10.1,0.015,0.3,5.6,0.004,51.8,105.6,0.009,0.9,18.3,
384,mortadella,47,3.8,1.4,1.7,0.5,0.5,0,2.5,0,8.4,0.2,7.8,0,0.07,0.015,0.011,0.089,0.4,0.084,0.094,0,0.021,0.067,0.018,2.7,0.032,0.2,1.7,0.098,14.6,24.5,0.036,0.3,9.7,
385,pork bologna,69,5.6,1.9,2.7,0.6,0.2,0,4.3,0,16.5,0.3,17,0,0.1,0.077,0.087,0.077,1.1,0.2,0.096,0,0.032,0.035,0.04,3.1,0.099,0.2,3.9,0.092,38.9,78.7,0.023,0.6,13.4,
386,turkey salami cooked,9,0.5,0.1,0.2,0.1,0.081,0.063,1,0.054,3.8,0.023,3.4,0.085,0.068,0.036,0.048,0.075,0.2,0.061,0.001,0,0.057,0.017,0.094,2,0.026,0.026,1.1,0.025,13.3,10.8,0.072,0.1,3.796,
